# x	Revenue	Cost	Profit
23.30	5539.08	3090.73	2448.35
23.40	5562.79	3092.00	2470.80
23.50	5586.51	3093.27	2493.24
23.60	5610.23	3094.55	2515.68
23.70	5633.94	3095.83	2538.12
23.80	5657.66	3097.12	2560.54
23.90	5681.37	3098.41	2582.97
24.00	5705.09	3099.70	2605.38
24.10	5728.80	3101.01	2627.79
24.20	5752.51	3102.31	2650.20
24.30	5776.23	3103.63	2672.60
24.40	5799.94	3104.94	2694.99
24.50	5823.65	3106.26	2717.38
24.60	5847.36	3107.59	2739.77
24.70	5871.07	3108.92	2762.14
24.80	5894.77	3110.26	2784.51
24.90	5918.48	3111.60	2806.88
25.00	5942.19	3112.95	2829.24
25.10	5965.89	3114.30	2851.60
25.20	5989.60	3115.65	2873.94
25.30	6013.30	3117.02	2896.29
25.40	6037.01	3118.38	2918.62
25.50	6060.71	3119.75	2940.96
25.60	6084.41	3121.13	2963.28
25.70	6108.11	3122.51	2985.60
25.80	6131.81	3123.90	3007.92
25.90	6155.51	3125.29	3030.23
26.00	6179.21	3126.68	3052.53
26.10	6202.91	3128.08	3074.83
26.20	6226.61	3129.49	3097.12
26.30	6250.30	3130.90	3119.40
26.40	6274.00	3132.32	3141.68
26.50	6297.70	3133.74	3163.96
26.60	6321.39	3135.16	3186.23
26.70	6345.08	3136.59	3208.49
26.80	6368.78	3138.03	3230.75
26.90	6392.47	3139.47	3253.00
27.00	6416.16	3140.92	3275.24
27.10	6439.85	3142.37	3297.48
27.20	6463.54	3143.82	3319.72
27.30	6487.23	3145.28	3341.94
27.40	6510.91	3146.75	3364.17
27.50	6534.60	3148.22	3386.38
27.60	6558.29	3149.69	3408.59
27.70	6581.97	3151.17	3430.80
27.80	6605.66	3152.66	3453.00
27.90	6629.34	3154.15	3475.19
28.00	6653.02	3155.64	3497.38
28.10	6676.71	3157.14	3519.56
28.20	6700.39	3158.65	3541.74
28.30	6724.07	3160.16	3563.91
28.40	6747.75	3161.67	3586.07
28.50	6771.43	3163.19	3608.23
28.60	6795.10	3164.72	3630.39
28.70	6818.78	3166.25	3652.53
28.80	6842.46	3167.78	3674.67
28.90	6866.13	3169.32	3696.81
29.00	6889.81	3170.87	3718.94
29.10	6913.48	3172.42	3741.06
29.20	6937.15	3173.97	3763.18
29.30	6960.82	3175.53	3785.29
29.40	6984.49	3177.09	3807.40
29.50	7008.16	3178.66	3829.50
29.60	7031.83	3180.24	3851.60
29.70	7055.50	3181.82	3873.68
29.80	7079.17	3183.40	3895.77
29.90	7102.83	3184.99	3917.85
30.00	7126.50	3186.58	3939.92
30.10	7150.16	3188.18	3961.98
30.20	7173.83	3189.79	3984.04
30.30	7197.49	3191.40	4006.10
30.40	7221.15	3193.01	4028.14
30.50	7244.81	3194.63	4050.19
30.60	7268.47	3196.25	4072.22
30.70	7292.13	3197.88	4094.25
30.80	7315.79	3199.51	4116.28
30.90	7339.45	3201.15	4138.29
31.00	7363.10	3202.80	4160.31
31.10	7386.76	3204.45	4182.31
31.20	7410.41	3206.10	4204.31
31.30	7434.07	3207.76	4226.31
31.40	7457.72	3209.42	4248.30
31.50	7481.37	3211.09	4270.28
31.60	7505.02	3212.76	4292.26
31.70	7528.67	3214.44	4314.23
31.80	7552.32	3216.13	4336.20
31.90	7575.97	3217.81	4358.16
32.00	7599.62	3219.51	4380.11
32.10	7623.26	3221.21	4402.06
32.20	7646.91	3222.91	4424.00
32.30	7670.55	3224.62	4445.93
32.40	7694.19	3226.33	4467.86
32.50	7717.84	3228.05	4489.79
32.60	7741.48	3229.77	4511.71
32.70	7765.12	3231.50	4533.62
32.80	7788.76	3233.23	4555.52
32.90	7812.39	3234.97	4577.42
33.00	7836.03	3236.71	4599.32
33.10	7859.67	3238.46	4621.21
33.20	7883.30	3240.21	4643.09
33.30	7906.94	3241.97	4664.97
33.40	7930.57	3243.73	4686.84
33.50	7954.20	3245.50	4708.70
33.60	7977.83	3247.27	4730.56
33.70	8001.46	3249.05	4752.41
33.80	8025.09	3250.83	4774.26
33.90	8048.72	3252.62	4796.10
34.00	8072.35	3254.41	4817.93
34.10	8095.97	3256.21	4839.76
34.20	8119.60	3258.01	4861.59
34.30	8143.22	3259.82	4883.40
34.40	8166.85	3261.63	4905.21
34.50	8190.47	3263.45	4927.02
34.60	8214.09	3265.27	4948.82
34.70	8237.71	3267.10	4970.61
34.80	8261.33	3268.93	4992.40
34.90	8284.95	3270.77	5014.18
35.00	8308.56	3272.61	5035.95
35.10	8332.18	3274.46	5057.72
35.20	8355.79	3276.31	5079.48
35.30	8379.41	3278.17	5101.24
35.40	8403.02	3280.03	5122.99
35.50	8426.63	3281.90	5144.73
35.60	8450.24	3283.77	5166.47
35.70	8473.85	3285.65	5188.20
35.80	8497.46	3287.53	5209.93
35.90	8521.07	3289.41	5231.65
36.00	8544.67	3291.31	5253.37
36.10	8568.28	3293.20	5275.07
36.20	8591.88	3295.10	5296.78
36.30	8615.48	3297.01	5318.47
36.40	8639.09	3298.92	5340.16
36.50	8662.69	3300.84	5361.85
36.60	8686.29	3302.76	5383.52
36.70	8709.88	3304.69	5405.20
36.80	8733.48	3306.62	5426.86
36.90	8757.08	3308.56	5448.52
37.00	8780.67	3310.50	5470.18
37.10	8804.27	3312.44	5491.82
37.20	8827.86	3314.40	5513.47
37.30	8851.45	3316.35	5535.10
37.40	8875.04	3318.31	5556.73
37.50	8898.63	3320.28	5578.35
37.60	8922.22	3322.25	5599.97
37.70	8945.81	3324.23	5621.58
37.80	8969.39	3326.21	5643.19
37.90	8992.98	3328.19	5664.79
38.00	9016.56	3330.19	5686.38
38.10	9040.15	3332.18	5707.97
38.20	9063.73	3334.18	5729.55
38.30	9087.31	3336.19	5751.12
38.40	9110.89	3338.20	5772.69
38.50	9134.47	3340.22	5794.25
38.60	9158.04	3342.24	5815.81
38.70	9181.62	3344.26	5837.36
38.80	9205.19	3346.29	5858.90
38.90	9228.77	3348.33	5880.44
39.00	9252.34	3350.37	5901.97
39.10	9275.91	3352.42	5923.50
39.20	9299.48	3354.47	5945.02
39.30	9323.05	3356.52	5966.53
39.40	9346.62	3358.58	5988.04
39.50	9370.19	3360.65	6009.54
39.60	9393.75	3362.72	6031.03
39.70	9417.31	3364.79	6052.52
39.80	9440.88	3366.88	6074.00
39.90	9464.44	3368.96	6095.48
40.00	9488.00	3371.05	6116.95
40.10	9511.56	3373.15	6138.41
40.20	9535.12	3375.25	6159.87
40.30	9558.67	3377.35	6181.32
40.40	9582.23	3379.46	6202.77
40.50	9605.78	3381.58	6224.21
40.60	9629.34	3383.70	6245.64
40.70	9652.89	3385.82	6267.07
40.80	9676.44	3387.96	6288.49
40.90	9699.99	3390.09	6309.90
41.00	9723.54	3392.23	6331.31
41.10	9747.09	3394.38	6352.71
41.20	9770.63	3396.53	6374.11
41.30	9794.18	3398.68	6395.50
41.40	9817.72	3400.84	6416.88
41.50	9841.26	3403.01	6438.26
41.60	9864.80	3405.18	6459.63
41.70	9888.34	3407.35	6480.99
41.80	9911.88	3409.53	6502.35
41.90	9935.42	3411.72	6523.70
42.00	9958.96	3413.91	6545.05
42.10	9982.49	3416.10	6566.39
42.20	10006.02	3418.30	6587.72
42.30	10029.56	3420.51	6609.05
42.40	10053.09	3422.72	6630.37
42.50	10076.62	3424.93	6651.68
42.60	10100.15	3427.15	6672.99
42.70	10123.67	3429.38	6694.30
42.80	10147.20	3431.61	6715.59
42.90	10170.72	3433.84	6736.88
43.00	10194.25	3436.08	6758.16
43.10	10217.77	3438.33	6779.44
43.20	10241.29	3440.58	6800.71
43.30	10264.81	3442.83	6821.98
43.40	10288.33	3445.09	6843.24
43.50	10311.84	3447.36	6864.49
43.60	10335.36	3449.63	6885.73
43.70	10358.87	3451.90	6906.97
43.80	10382.39	3454.18	6928.21
43.90	10405.90	3456.46	6949.43
44.00	10429.41	3458.75	6970.65
44.10	10452.92	3461.05	6991.87
44.20	10476.42	3463.35	7013.08
44.30	10499.93	3465.65	7034.28
44.40	10523.44	3467.96	7055.47
44.50	10546.94	3470.28	7076.66
44.60	10570.44	3472.60	7097.85
44.70	10593.94	3474.92	7119.02
44.80	10617.44	3477.25	7140.19
44.90	10640.94	3479.58	7161.36
45.00	10664.44	3481.92	7182.51
45.10	10687.93	3484.27	7203.66
45.20	10711.43	3486.62	7224.81
45.30	10734.92	3488.97	7245.95
45.40	10758.41	3491.33	7267.08
45.50	10781.90	3493.70	7288.21
45.60	10805.39	3496.07	7309.33
45.70	10828.88	3498.44	7330.44
45.80	10852.36	3500.82	7351.54
45.90	10875.85	3503.20	7372.65
46.00	10899.33	3505.59	7393.74
46.10	10922.81	3507.99	7414.83
46.20	10946.29	3510.39	7435.91
46.30	10969.77	3512.79	7456.98
46.40	10993.25	3515.20	7478.05
46.50	11016.73	3517.61	7499.11
46.60	11040.20	3520.03	7520.17
46.70	11063.68	3522.46	7541.22
46.80	11087.15	3524.89	7562.26
46.90	11110.62	3527.32	7583.30
47.00	11134.09	3529.76	7604.33
47.10	11157.56	3532.20	7625.35
47.20	11181.02	3534.65	7646.37
47.30	11204.49	3537.11	7667.38
47.40	11227.95	3539.57	7688.39
47.50	11251.41	3542.03	7709.38
47.60	11274.87	3544.50	7730.38
47.70	11298.33	3546.97	7751.36
47.80	11321.79	3549.45	7772.34
47.90	11345.25	3551.94	7793.31
48.00	11368.70	3554.42	7814.28
48.10	11392.16	3556.92	7835.24
48.20	11415.61	3559.42	7856.19
48.30	11439.06	3561.92	7877.14
48.40	11462.51	3564.43	7898.08
48.50	11485.96	3566.94	7919.01
48.60	11509.40	3569.46	7939.94
48.70	11532.85	3571.99	7960.86
48.80	11556.29	3574.52	7981.78
48.90	11579.73	3577.05	8002.69
49.00	11603.18	3579.59	8023.59
49.10	11626.61	3582.13	8044.48
49.20	11650.05	3584.68	8065.37
49.30	11673.49	3587.24	8086.25
49.40	11696.92	3589.79	8107.13
49.50	11720.36	3592.36	8128.00
49.60	11743.79	3594.93	8148.86
49.70	11767.22	3597.50	8169.72
49.80	11790.65	3600.08	8190.57
49.90	11814.07	3602.66	8211.41
50.00	11837.50	3605.25	8232.25
50.10	11860.92	3607.85	8253.08
50.20	11884.35	3610.44	8273.90
50.30	11907.77	3613.05	8294.72
50.40	11931.19	3615.66	8315.53
50.50	11954.61	3618.27	8336.34
50.60	11978.02	3620.89	8357.13
50.70	12001.44	3623.51	8377.93
50.80	12024.85	3626.14	8398.71
50.90	12048.26	3628.78	8419.49
51.00	12071.67	3631.41	8440.26
51.10	12095.08	3634.06	8461.03
51.20	12118.49	3636.71	8481.79
51.30	12141.90	3639.36	8502.54
51.40	12165.30	3642.02	8523.28
51.50	12188.70	3644.68	8544.02
51.60	12212.11	3647.35	8564.76
51.70	12235.51	3650.02	8585.48
51.80	12258.90	3652.70	8606.20
51.90	12282.30	3655.39	8626.91
52.00	12305.70	3658.08	8647.62
52.10	12329.09	3660.77	8668.32
52.20	12352.48	3663.47	8689.01
52.30	12375.87	3666.17	8709.70
52.40	12399.26	3668.88	8730.38
52.50	12422.65	3671.59	8751.06
52.60	12446.03	3674.31	8771.72
52.70	12469.42	3677.04	8792.38
52.80	12492.80	3679.76	8813.04
52.90	12516.18	3682.50	8833.68
53.00	12539.56	3685.24	8854.33
53.10	12562.94	3687.98	8874.96
53.20	12586.32	3690.73	8895.59
53.30	12609.69	3693.48	8916.21
53.40	12633.06	3696.24	8936.82
53.50	12656.43	3699.00	8957.43
53.60	12679.80	3701.77	8978.03
53.70	12703.17	3704.55	8998.63
53.80	12726.54	3707.32	9019.21
53.90	12749.90	3710.11	9039.80
54.00	12773.27	3712.90	9060.37
54.10	12796.63	3715.69	9080.94
54.20	12819.99	3718.49	9101.50
54.30	12843.35	3721.29	9122.06
54.40	12866.71	3724.10	9142.60
54.50	12890.06	3726.91	9163.15
54.60	12913.41	3729.73	9183.68
54.70	12936.77	3732.56	9204.21
54.80	12960.12	3735.39	9224.73
54.90	12983.47	3738.22	9245.25
55.00	13006.81	3741.06	9265.76
55.10	13030.16	3743.90	9286.26
55.20	13053.50	3746.75	9306.75
55.30	13076.84	3749.60	9327.24
55.40	13100.18	3752.46	9347.72
55.50	13123.52	3755.33	9368.20
55.60	13146.86	3758.19	9388.67
55.70	13170.20	3761.07	9409.13
55.80	13193.53	3763.95	9429.58
55.90	13216.86	3766.83	9450.03
56.00	13240.19	3769.72	9470.47
56.10	13263.52	3772.61	9490.91
56.20	13286.85	3775.51	9511.34
56.30	13310.17	3778.41	9531.76
56.40	13333.50	3781.32	9552.17
56.50	13356.82	3784.24	9572.58
56.60	13380.14	3787.15	9592.98
56.70	13403.46	3790.08	9613.38
56.80	13426.77	3793.01	9633.77
56.90	13450.09	3795.94	9654.15
57.00	13473.40	3798.88	9674.52
57.10	13496.72	3801.82	9694.89
57.20	13520.03	3804.77	9715.25
57.30	13543.33	3807.72	9735.61
57.40	13566.64	3810.68	9755.96
57.50	13589.95	3813.65	9776.30
57.60	13613.25	3816.62	9796.63
57.70	13636.55	3819.59	9816.96
57.80	13659.85	3822.57	9837.28
57.90	13683.15	3825.55	9857.60
58.00	13706.44	3828.54	9877.90
58.10	13729.74	3831.53	9898.20
58.20	13753.03	3834.53	9918.50
58.30	13776.32	3837.54	9938.79
58.40	13799.61	3840.55	9959.07
58.50	13822.90	3843.56	9979.34
58.60	13846.18	3846.58	9999.61
58.70	13869.47	3849.60	10019.87
58.80	13892.75	3852.63	10040.12
58.90	13916.03	3855.66	10060.37
59.00	13939.31	3858.70	10080.61
59.10	13962.59	3861.75	10100.84
59.20	13985.86	3864.80	10121.07
59.30	14009.14	3867.85	10141.29
59.40	14032.41	3870.91	10161.50
59.50	14055.68	3873.97	10181.71
59.60	14078.95	3877.04	10201.91
59.70	14102.21	3880.11	10222.10
59.80	14125.48	3883.19	10242.28
59.90	14148.74	3886.28	10262.46
60.00	14172.00	3889.37	10282.63
60.10	14195.26	3892.46	10302.80
60.20	14218.52	3895.56	10322.96
60.30	14241.77	3898.66	10343.11
60.40	14265.03	3901.77	10363.25
60.50	14288.28	3904.89	10383.39
60.60	14311.53	3908.00	10403.52
60.70	14334.78	3911.13	10423.65
60.80	14358.02	3914.26	10443.77
60.90	14381.27	3917.39	10463.88
61.00	14404.51	3920.53	10483.98
61.10	14427.75	3923.67	10504.08
61.20	14450.99	3926.82	10524.17
61.30	14474.23	3929.98	10544.25
61.40	14497.46	3933.14	10564.33
61.50	14520.70	3936.30	10584.40
61.60	14543.93	3939.47	10604.46
61.70	14567.16	3942.64	10624.51
61.80	14590.39	3945.82	10644.56
61.90	14613.61	3949.01	10664.61
62.00	14636.84	3952.20	10684.64
62.10	14660.06	3955.39	10704.67
62.20	14683.28	3958.59	10724.69
62.30	14706.50	3961.79	10744.70
62.40	14729.71	3965.00	10764.71
62.50	14752.93	3968.22	10784.71
62.60	14776.14	3971.44	10804.71
62.70	14799.35	3974.66	10824.69
62.80	14822.56	3977.89	10844.67
62.90	14845.77	3981.12	10864.65
63.00	14868.98	3984.36	10884.61
63.10	14892.18	3987.61	10904.57
63.20	14915.38	3990.86	10924.53
63.30	14938.58	3994.11	10944.47
63.40	14961.78	3997.37	10964.41
63.50	14984.98	4000.63	10984.34
63.60	15008.17	4003.90	11004.27
63.70	15031.36	4007.18	11024.18
63.80	15054.55	4010.46	11044.10
63.90	15077.74	4013.74	11064.00
64.00	15100.93	4017.03	11083.90
64.10	15124.11	4020.33	11103.79
64.20	15147.30	4023.63	11123.67
64.30	15170.48	4026.93	11143.55
64.40	15193.66	4030.24	11163.42
64.50	15216.83	4033.55	11183.28
64.60	15240.01	4036.87	11203.13
64.70	15263.18	4040.20	11222.98
64.80	15286.35	4043.53	11242.82
64.90	15309.52	4046.86	11262.66
65.00	15332.69	4050.20	11282.48
65.10	15355.85	4053.55	11302.31
65.20	15379.02	4056.90	11322.12
65.30	15402.18	4060.25	11341.93
65.40	15425.34	4063.61	11361.73
65.50	15448.49	4066.98	11381.52
65.60	15471.65	4070.35	11401.30
65.70	15494.80	4073.72	11421.08
65.80	15517.95	4077.10	11440.85
65.90	15541.10	4080.49	11460.62
66.00	15564.25	4083.88	11480.38
66.10	15587.40	4087.27	11500.13
66.20	15610.54	4090.67	11519.87
66.30	15633.68	4094.08	11539.61
66.40	15656.82	4097.49	11559.34
66.50	15679.96	4100.90	11579.06
66.60	15703.10	4104.32	11598.77
66.70	15726.23	4107.75	11618.48
66.80	15749.36	4111.18	11638.18
66.90	15772.49	4114.61	11657.88
67.00	15795.62	4118.05	11677.57
67.10	15818.74	4121.50	11697.25
67.20	15841.87	4124.95	11716.92
67.30	15864.99	4128.40	11736.59
67.40	15888.11	4131.86	11756.25
67.50	15911.23	4135.33	11775.90
67.60	15934.34	4138.80	11795.54
67.70	15957.46	4142.27	11815.18
67.80	15980.57	4145.75	11834.81
67.90	16003.68	4149.24	11854.44
68.00	16026.78	4152.73	11874.05
68.10	16049.89	4156.23	11893.66
68.20	16072.99	4159.73	11913.27
68.30	16096.09	4163.23	11932.86
68.40	16119.19	4166.74	11952.45
68.50	16142.29	4170.26	11972.03
68.60	16165.39	4173.78	11991.61
68.70	16188.48	4177.30	12011.17
68.80	16211.57	4180.83	12030.74
68.90	16234.66	4184.37	12050.29
69.00	16257.75	4187.91	12069.83
69.10	16280.83	4191.46	12089.37
69.20	16303.91	4195.01	12108.91
69.30	16326.99	4198.56	12128.43
69.40	16350.07	4202.12	12147.95
69.50	16373.15	4205.69	12167.46
69.60	16396.22	4209.26	12186.96
69.70	16419.30	4212.84	12206.46
69.80	16442.37	4216.42	12225.95
69.90	16465.43	4220.00	12245.43
70.00	16488.50	4223.60	12264.90
70.10	16511.56	4227.19	12284.37
70.20	16534.63	4230.79	12303.83
70.30	16557.69	4234.40	12323.29
70.40	16580.74	4238.01	12342.73
70.50	16603.80	4241.63	12362.17
70.60	16626.85	4245.25	12381.60
70.70	16649.90	4248.87	12401.03
70.80	16672.95	4252.51	12420.45
70.90	16696.00	4256.14	12439.86
71.00	16719.04	4259.78	12459.26
71.10	16742.09	4263.43	12478.66
71.20	16765.13	4267.08	12498.05
71.30	16788.17	4270.74	12517.43
71.40	16811.20	4274.40	12536.80
71.50	16834.24	4278.07	12556.17
71.60	16857.27	4281.74	12575.53
71.70	16880.30	4285.41	12594.89
71.80	16903.33	4289.10	12614.23
71.90	16926.35	4292.78	12633.57
72.00	16949.38	4296.47	12652.90
72.10	16972.40	4300.17	12672.23
72.20	16995.42	4303.87	12691.54
72.30	17018.43	4307.58	12710.85
72.40	17041.45	4311.29	12730.16
72.50	17064.46	4315.01	12749.45
72.60	17087.47	4318.73	12768.74
72.70	17110.48	4322.46	12788.02
72.80	17133.49	4326.19	12807.30
72.90	17156.49	4329.93	12826.56
73.00	17179.49	4333.67	12845.82
73.10	17202.49	4337.42	12865.07
73.20	17225.49	4341.17	12884.32
73.30	17248.48	4344.93	12903.56
73.40	17271.48	4348.69	12922.79
